халтархай<ADJ>	халтархай
баар<VERB><Number=Plur><Person=3><Tense=Pres>	бааллар

үлэлээ<VERB><Number=Plur><Person=3><Tense=Pres>	үлэлииллэр

гын<VERB><Number=Plur><Person=3><Tense=Pres>	гыналлар

уур<VERB><Number=Plur><Person=3><Tense=Pres>	уураллар

сиэ<VERB><Number=Plur><Person=3><Tense=Pres>	сииллэр

аһаа<VERB><Number=Plur><Person=3><Tense=Pres>	аһыыллар

олор<VERB><Number=Plur><Person=3><Tense=Pres>	олороллор

аах<VERB><Number=Plur><Person=3><Tense=Pres>	ааҕаллар

биэр<VERB><Number=Plur><Person=3><Tense=Pres>	биэрэллэр

суруй<VERB><Number=Plur><Person=3><Tense=Pres>	суруйаллар

иһит<VERB><Number=Plur><Person=3><Tense=Pres>	истэллэр

таптаа<VERB><Number=Plur><Person=3><Tense=Pres>	таптыыллар

утуй<VERB><Number=Plur><Person=3><Tense=Pres>	утуйаллар

балыктаа<VERB><Number=Plur><Person=3><Tense=Pres>	балыктыыллар

атыылас<VERB><Number=Plur><Person=3><Tense=Pres>	атыылаһаллар

атыылаа<VERB><Number=Plur><Person=3><Tense=Pres>	атыылыыллар

ыл<VERB><Number=Plur><Person=3><Tense=Pres>	ылаллар

бултаа<VERB><Number=Plur><Person=3><Tense=Pres>	бултууллар

үөрэн<VERB><Number=Plur><Person=3><Tense=Pres>	үөрэнэллэр

хайыһардаа<VERB><Number=Plur><Person=3><Tense=Pres>	хайыһардыыллар

ыл<VERB><Number=Sing><Person=1><Tense=Fut>	ылыаҕым

үлэлээ<VERB><Number=Sing><Person=1><Tense=Fut>	үлэлиэҕим

сууй<VERB><Number=Sing><Person=1><Tense=NearPast>	сууннум

ыыт<VERB><Number=Sing><Person=1><Tense=NearPast>	ыыттым

өлөр<VERB><Number=Sing><Person=1><Tense=NearPast>	өлөрдүм

кэл<VERB><Number=Sing><Person=1><Tense=NearPast>	кэллим

түс<VERB><Number=Sing><Person=1><Tense=PastPerf>	түспүтүм

көт<VERB><Number=Sing><Person=1><Tense=PastPerf>	көппүтүм

олор<VERB><Number=Sing><Person=1><Tense=PastPerf>	олорбутум

көр<VERB><Number=Sing><Person=1><Tense=PastPerf>	көрбүтүм

бил<VERB><Number=Sing><Person=1><Tense=PastPerf>	билбитим

аах<VERB><Number=Sing><Person=1><Tense=Pres>	ааҕабын

үөрэн<VERB><Number=Sing><Person=1><Tense=Pres>	үөрэнэбин

бил<VERB><Number=Sing><Person=2><Polarity=Neg><Tense=Pres>	билбэккин

манаа<VERB><Number=Sing><Person=2><Tense=Fut>	маныаҕыҥ

буол<VERB><Number=Sing><Person=2><Tense=Fut>	буолуоҥ

суулун<VERB><Number=Sing><Person=2><Tense=PastPerf>	сууллубутуҥ

ыа<VERB><Number=Sing><Person=2><Tense=Pres>	ыыгын

кэт<VERB><Number=Sing><Person=2><Tense=Pres>	кэтэҕин

таптаа<VERB><Number=Sing><Person=2><Tense=Pres>	таптыыгын

үөрэн<VERB><Number=Sing><Person=2><Tense=Pres>	үөрэнэҕин

көр<VERB><Number=Sing><Person=2><Tense=Pres>	көрөҕүн

гын<VERB><Number=Sing><Person=2><Tense=Pres>	гынаҕын

буол<VERB><Number=Sing><Person=3><Polarity=Neg><Tense=PastResultI>	буолбатах

ыарый<VERB><Number=Sing><Person=3><Polarity=Neg><Tense=Pres>	ыалдьыбат

саҥар<VERB><Number=Sing><Person=3><Polarity=Neg><Tense=Pres>	саҥарбат

кэт<VERB><Number=Sing><Person=3><Polarity=Neg><Tense=Pres>	кэппэт

үөрэн<VERB><Number=Sing><Person=3><Polarity=Neg><Tense=Pres>	үөрэммэт

киир<VERB><Number=Sing><Person=3><Polarity=Neg><Tense=Pres>	киирбэт

көр<VERB><Number=Sing><Person=3><Polarity=Neg><Tense=Pres>	көрбөт

ыл<VERB><Number=Sing><Person=3><Tense=Fut>	ылыаҕа

бар<VERB><Number=Sing><Person=3><Tense=NearPast>	барда

ыл<VERB><Number=Sing><Person=3><Tense=NearPast>	ылла

отун<VERB><Number=Sing><Person=3><Tense=NearPast>	отунна

быс<VERB><Number=Sing><Person=3><Tense=NearPast>	быста

аҕал<VERB><Number=Sing><Person=3><Tense=NearPast>	аҕалла

кэл<VERB><Number=Sing><Person=3><Tense=NearPast>	кэллэ

эт<VERB><Number=Sing><Person=3><Tense=NearPast>	эттэ

киир<VERB><Number=Sing><Person=3><Tense=NearPast>	киирдэ

сөтүөлээ<VERB><Number=Sing><Person=3><Tense=NearPast>	сөтүөлээтэ

ыыт<VERB><Number=Sing><Person=3><Tense=NearPast>	ыытта

атыылас<VERB><Number=Sing><Person=3><Tense=NearPast>	атыыласта

тот<VERB><Number=Sing><Person=3><Tense=NearPast>	тотто

кут<VERB><Number=Sing><Person=3><Tense=NearPast>	кутта

көрдөс<VERB><Number=Sing><Person=3><Tense=NearPast>	көрдөстө

аһаа<VERB><Number=Sing><Person=3><Tense=NearPast>	аһаата

туһалаа<VERB><Number=Sing><Person=3><Tense=PastPerf>	туһалаабыта

түс<VERB><Number=Sing><Person=3><Tense=PastPerf>	түспүтэ

киир<VERB><Number=Sing><Person=3><Tense=PastPerf>	киирбитэ

ыйыһын<VERB><Number=Sing><Person=3><Tense=PastResultI>	ыйыстыбыт

гын<VERB><Number=Sing><Person=3><Tense=Pres>	гынар

ис<VERB><Number=Sing><Person=3><Tense=Pres>	иһэр

ыл<VERB><Number=Sing><Person=3><Tense=Pres>	ылар

аах<VERB><Number=Sing><Person=3><Tense=Pres>	ааҕар

атыылаа<VERB><Number=Sing><Person=3><Tense=Pres>	атыылыыр

