тэлиэгэ<NOUN><Number=Plur><Case=Par>	тэлиэгэлэрдэ
тэлиэгэ<NOUN><Number=Plur><Case=Ins>	тэлиэгэлэринэн
тэллэх<NOUN><Number=Sing><Number[psor]=Plur><Person[psor]=2><Case=Nom>	тэллэххит
тэллэх<NOUN><Number=Sing><Number[psor]=Plur><Person[psor]=1><Case=Nom>	тэллэхбит
тэллэх<NOUN><Number=Sing><Case=Com>	тэллэхтиин
тэллэх<NOUN><Number=Sing><Int=Yes><Case=Nom>	тэллэхий
тэллэх<NOUN><Number=Sing><Case=Abl>	тэллэхтан
тэллэх<NOUN><Number=Sing><Case=Cmp>	тэллэхтээҕэр
тэллэх<NOUN><Number=Sing><Case=Par>	тэллэхтэ
тэллэх<NOUN><Number=Sing><Number[psor]=Plur><Person[psor]=3><Case=Acc>	тэллэхлэрин
тэллэх<NOUN><Number=Sing><Number[psor]=Plur><Person[psor]=3><Case=Nom>	тэллэхлэрэ
тэллэх<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Ins>	тэллэхтинэн
тэллэх<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Dat>	тэллэхтигэр
тэллэх<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Acc>	тэллэхин
тэллэх<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=1><Case=Acc>	тэллэхбин
тэллэх<NOUN><Number=Sing><Case=Nom>	тэллэх
тэллэх<NOUN><Number=Sing><Case=Acc>	тэллэхи
тэллэх<NOUN><Number=Sing><Case=Ins>	тэллэхинэн
тэллэх<NOUN><Number=Sing><Case=Dat>	тэллэххэ
тэллэх<NOUN><Number=Plur><Number[psor]=Plur><Person[psor]=2><Case=Nom>	тэллэхтэргит
тэллэх<NOUN><Number=Plur><Number[psor]=Plur><Person[psor]=1><Case=Nom>	тэллэхтэрбит
тэллэх<NOUN><Number=Plur><Case=Com>	тэллэхтэрдиин
тэллэх<NOUN><Number=Plur><Int=Yes><Case=Nom>	тэллэхтэрий
тэллэх<NOUN><Number=Plur><Case=Abl>	тэллэхтэртан
тэллэх<NOUN><Number=Plur><Case=Dat><Nomzr=Action>	тэллэхтэрыахха
тэллэх<NOUN><Number=Plur><Number[psor]=Plur><Person[psor]=3><Case=Acc>	тэллэхтэрлэрин
тэллэх<NOUN><Number=Plur><Number[psor]=Plur><Person[psor]=3><Case=Nom>	тэллэхтэрлэрэ
тэллэх<NOUN><Number=Plur><Number[psor]=Sing><Person[psor]=3><Case=Nom>	тэллэхтэрэ
тэллэх<NOUN><Number=Plur><Number[psor]=Sing><Person[psor]=3><Case=Ins>	тэллэхтэртинэн
тэллэх<NOUN><Number=Plur><Number[psor]=Sing><Person[psor]=3><Case=Dat>	тэллэхтэртигэр
тэллэх<NOUN><Number=Plur><Number[psor]=Sing><Person[psor]=3><Case=Acc>	тэллэхтэрин
тэллэх<NOUN><Number=Plur><Number[psor]=Sing><Person[psor]=2><Case=Nom>	тэллэхтэриҥ
тэллэх<NOUN><Number=Plur><Number[psor]=Sing><Person[psor]=1><Case=Nom>	тэллэхтэрим
